Elapsed Time (s),m=15,m=16,m=17,m=18,m=20,m=22,m=28,m=32,m=40,m=44
00:07:30.04,3.25e-10,7.82e-13,7.13e-14,4.58e-14,1.05e-10,4.71e-13,1.17e-13,3.54e-13,1.3e-12,7.08e-14
00:07:37.54,3.24e-10,8.15e-13,5.94e-14,6.18e-14,1.05e-10,4.79e-13,1.17e-13,3.41e-13,1.3e-12,6.38e-14
00:07:45.04,3.23e-10,8.31e-13,6.8e-14,6.36e-14,1.05e-10,4.79e-13,1.06e-13,3.49e-13,1.22e-12,7.19e-14
00:07:52.54,3.24e-10,8.06e-13,4.28e-14,5.74e-14,1.05e-10,4.78e-13,1.24e-13,2.94e-13,1.18e-12,5.03e-14
00:08:00.04,3.23e-10,7.62e-13,4.41e-14,5.74e-14,1.05e-10,4.8e-13,1.3e-13,3.13e-13,1.19e-12,5.76e-14
00:08:07.54,3.22e-10,7.88e-13,4.41e-14,6.44e-14,1.05e-10,4.38e-13,1.2e-13,3.48e-13,1.15e-12,5.73e-14
00:08:15.04,3.23e-10,7.99e-13,5.69e-14,4.24e-14,1.05e-10,4.94e-13,1.03e-13,3.44e-13,1.16e-12,5.45e-14
00:08:22.54,3.23e-10,7.99e-13,8.78e-14,5.1e-14,1.05e-10,4.71e-13,1.2e-13,3.4e-13,1.1e-12,6.08e-14
00:08:30.04,3.23e-10,8.41e-13,5.64e-14,4.74e-14,1.05e-10,4.87e-13,1.3e-13,3.21e-13,1.09e-12,7.4e-14
00:08:37.54,3.21e-10,7.84e-13,5.74e-14,4.16e-14,1.05e-10,4.18e-13,1.2e-13,3.06e-13,1.05e-12,6.21e-14
00:08:45.04,3.22e-10,7.88e-13,6.29e-14,4.61e-14,1.05e-10,4.56e-13,1.05e-13,3.12e-13,1.04e-12,4.82e-14
00:08:52.54,3.22e-10,8.16e-13,3.85e-14,4.99e-14,1.05e-10,4.08e-13,1.11e-13,2.97e-13,1.02e-12,4.84e-14
00:09:00.04,3.2e-10,7.76e-13,5.45e-14,4.16e-14,1.05e-10,4.62e-13,1.04e-13,2.63e-13,1.02e-12,4.49e-14
00:09:07.54,3.21e-10,7.87e-13,5.39e-14,5.2e-14,1.05e-10,4.74e-13,1.01e-13,2.78e-13,9.41e-13,4.89e-14
00:09:15.04,3.22e-10,8.21e-13,6.04e-14,4.94e-14,1.05e-10,4.52e-13,1.19e-13,2.82e-13,1e-12,5.28e-14
00:09:22.54,3.2e-10,7.88e-13,6.07e-14,4.79e-14,1.05e-10,4.37e-13,9.32e-14,2.73e-13,9.37e-13,5.28e-14
00:09:30.04,3.2e-10,7.87e-13,6.31e-14,5.32e-14,1.05e-10,4.08e-13,1.12e-13,2.88e-13,9.37e-13,3.16e-14
00:09:37.54,3.21e-10,8.03e-13,4.32e-14,4.5e-14,1.04e-10,4.15e-13,1e-13,2.88e-13,9.5e-13,4.86e-14
00:09:45.04,3.19e-10,7.8e-13,5.93e-14,5.13e-14,1.04e-10,4.48e-13,1e-13,2.59e-13,9.12e-13,7.61e-14
00:09:52.54,3.2e-10,7.76e-13,4.24e-14,4.66e-14,1.05e-10,4.48e-13,1.23e-13,2.96e-13,9.31e-13,3.63e-14
00:10:00.04,3.2e-10,7.88e-13,5.05e-14,5.29e-14,1.05e-10,4.26e-13,1.06e-13,2.45e-13,9.03e-13,5.51e-14
00:10:07.54,3.19e-10,7.8e-13,5.24e-14,5.29e-14,1.04e-10,4.69e-13,1.07e-13,2.43e-13,8.57e-13,4.22e-14
00:10:15.04,3.19e-10,8.02e-13,5.24e-14,5.16e-14,1.04e-10,4.56e-13,8.36e-14,2.65e-13,8.29e-13,4.42e-14
00:10:22.54,3.19e-10,7.65e-13,4.83e-14,4.58e-14,1.04e-10,4.5e-13,1.06e-13,2.47e-13,8.65e-13,7.36e-14
00:10:30.04,3.19e-10,7.65e-13,5.02e-14,3.3e-14,1.04e-10,4.53e-13,9.08e-14,2.61e-13,8.25e-13,5.1e-14
00:10:37.54,3.19e-10,8.16e-13,5.92e-14,4.62e-14,1.04e-10,4.15e-13,8.8e-14,2.65e-13,8.26e-13,3.62e-14
00:10:45.04,3.18e-10,7.89e-13,5.29e-14,4.92e-14,1.04e-10,4.71e-13,1.02e-13,2.3e-13,8.07e-13,5.13e-14
00:10:52.54,3.19e-10,8.23e-13,4.41e-14,6.13e-14,1.04e-10,4.56e-13,1.15e-13,2.42e-13,7.95e-13,4.08e-14
00:11:00.04,3.18e-10,7.75e-13,6.11e-14,4.14e-14,1.04e-10,4.34e-13,1.23e-13,2.3e-13,7.84e-13,4.18e-14
00:11:07.54,3.17e-10,7.92e-13,5.78e-14,5.87e-14,1.04e-10,4.72e-13,1.06e-13,2.21e-13,7.62e-13,4.08e-14
00:11:15.04,3.18e-10,7.85e-13,6.14e-14,5.45e-14,1.04e-10,4.5e-13,1.09e-13,2.26e-13,7.41e-13,4.94e-14
00:11:22.54,3.18e-10,8.1e-13,4.29e-14,4.54e-14,1.04e-10,4.54e-13,1.02e-13,2.52e-13,7.59e-13,7.56e-14
00:11:30.04,3.16e-10,7.62e-13,5.98e-14,7.67e-14,1.04e-10,4.9e-13,1.11e-13,2.38e-13,7.32e-13,7.56e-14
00:11:37.54,3.17e-10,7.69e-13,4.2e-14,4.76e-14,1.04e-10,4.79e-13,7.69e-14,2.08e-13,7.32e-13,4.05e-14
00:11:45.04,3.17e-10,7.57e-13,4.57e-14,5.93e-14,1.04e-10,4.54e-13,9.95e-14,2.08e-13,7.39e-13,5.15e-14
00:11:52.54,3.15e-10,8.37e-13,5.42e-14,4.75e-14,1.04e-10,4.55e-13,9.95e-14,2.14e-13,6.82e-13,3.83e-14
00:12:00.04,3.17e-10,7.87e-13,5.61e-14,4.58e-14,1.04e-10,4.55e-13,1.04e-13,2.21e-13,6.96e-13,5.01e-14
00:12:07.54,3.17e-10,7.81e-13,7.43e-14,5.77e-14,1.04e-10,4.52e-13,9.34e-14,2.27e-13,7.09e-13,5.4e-14
00:12:15.04,3.15e-10,7.69e-13,7.34e-14,5.77e-14,1.04e-10,4.46e-13,1.02e-13,2.2e-13,6.86e-13,5.99e-14
00:12:22.54,3.16e-10,7.95e-13,7.34e-14,5.52e-14,1.04e-10,4.73e-13,1.3e-13,2.16e-13,6.73e-13,3.72e-14
00:12:30.04,3.16e-10,7.7e-13,4.37e-14,5.13e-14,1.04e-10,4.62e-13,1.04e-13,2.15e-13,6.67e-13,4.86e-14
00:12:37.54,3.14e-10,7.7e-13,4.24e-14,5.51e-14,1.04e-10,4.71e-13,1.12e-13,2.02e-13,6.5e-13,3.69e-14
00:12:45.04,3.14e-10,8.22e-13,5.06e-14,4.63e-14,1.04e-10,4.54e-13,1.21e-13,1.86e-13,6.3e-13,4.34e-14
00:12:52.54,3.15e-10,7.82e-13,5.44e-14,6.25e-14,1.04e-10,4.32e-13,8.93e-14,1.95e-13,6.48e-13,3.61e-14
00:13:00.04,3.15e-10,7.85e-13,5.81e-14,5.67e-14,1.04e-10,4.61e-13,9.19e-14,2e-13,6.07e-13,3.71e-14
00:13:07.54,3.14e-10,8.09e-13,4.07e-14,4.85e-14,1.03e-10,4.28e-13,8.53e-14,1.81e-13,6.14e-13,3.44e-14
00:13:15.04,3.14e-10,7.81e-13,5.03e-14,4.34e-14,1.04e-10,4.66e-13,9.51e-14,1.65e-13,6.11e-13,4.38e-14
00:13:22.54,3.15e-10,8.02e-13,6.69e-14,5.96e-14,1.03e-10,4.44e-13,1e-13,1.72e-13,5.97e-13,3.71e-14
00:13:30.04,3.14e-10,8.01e-13,6.9e-14,5.65e-14,1.03e-10,4.69e-13,9.06e-14,1.82e-13,5.93e-13,4.75e-14
00:13:37.54,3.14e-10,7.73e-13,5.22e-14,4.76e-14,1.03e-10,4.64e-13,8.05e-14,1.76e-13,5.71e-13,4.75e-14
00:13:45.04,3.14e-10,7.99e-13,5.91e-14,4.56e-14,1.03e-10,4.49e-13,7.83e-14,1.78e-13,5.71e-13,3.53e-14
00:13:52.54,3.14e-10,8.31e-13,4.72e-14,4.29e-14,1.03e-10,4.54e-13,1.04e-13,1.78e-13,5.54e-13,3.88e-14
00:14:00.06,3.14e-10,8.09e-13,5.66e-14,5.81e-14,1.03e-10,4.51e-13,1.04e-13,1.9e-13,5.69e-13,4.59e-14
00:14:07.56,3.14e-10,7.68e-13,6.08e-14,6.18e-14,1.03e-10,4.51e-13,9.82e-14,1.83e-13,5.9e-13,4.03e-14
00:14:15.06,3.13e-10,7.82e-13,5.85e-14,6.31e-14,1.03e-10,4.55e-13,8.95e-14,1.86e-13,5.3e-13,4.97e-14
00:14:22.56,3.13e-10,7.64e-13,6.11e-14,6.31e-14,1.03e-10,4.42e-13,1.05e-13,2.06e-13,5.65e-13,6.04e-14
00:14:30.07,3.13e-10,7.84e-13,6.11e-14,6.06e-14,1.03e-10,4.5e-13,1e-13,1.68e-13,5.48e-13,5.35e-14
00:14:37.59,3.13e-10,7.99e-13,5.35e-14,6.34e-14,1.03e-10,4.7e-13,8.77e-14,1.86e-13,5.17e-13,5.18e-14
00:14:45.09,3.12e-10,7.99e-13,5.57e-14,5.22e-14,1.03e-10,4.48e-13,1.05e-13,1.66e-13,5.14e-13,4.05e-14
00:14:52.59,3.12e-10,7.85e-13,4.71e-14,4.61e-14,1.03e-10,4.4e-13,7.2e-14,1.75e-13,5.04e-13,3.77e-14
00:15:00.09,3.13e-10,7.56e-13,4.76e-14,5.03e-14,1.03e-10,4.5e-13,7.92e-14,1.41e-13,4.87e-13,6.14e-14
00:15:07.59,3.13e-10,7.85e-13,4.5e-14,4.54e-14,1.03e-10,4.61e-13,9.11e-14,1.71e-13,5.05e-13,3.29e-14
00:15:15.09,3.11e-10,7.8e-13,4.91e-14,4.88e-14,1.03e-10,4.98e-13,7.21e-14,1.71e-13,5.19e-13,2.94e-14
00:15:22.60,3.12e-10,8e-13,4.66e-14,4.71e-14,1.03e-10,4.53e-13,1.01e-13,1.61e-13,4.95e-13,6.2e-14
00:15:30.10,3.13e-10,8.07e-13,5.44e-14,4.45e-14,1.03e-10,4.64e-13,7.08e-14,1.47e-13,4.54e-13,4.79e-14
00:15:37.60,3.11e-10,7.86e-13,4.92e-14,5.24e-14,1.03e-10,4.52e-13,1.05e-13,1.89e-13,4.67e-13,4.35e-14
00:15:45.10,3.12e-10,8.39e-13,4.75e-14,5.03e-14,1.03e-10,4.48e-13,9.61e-14,1.53e-13,4.78e-13,4.35e-14
00:15:52.62,3.12e-10,7.95e-13,7.12e-14,4.98e-14,1.03e-10,4.47e-13,9.92e-14,1.39e-13,4.78e-13,3.08e-14
00:16:00.14,3.12e-10,7.8e-13,5.41e-14,5.91e-14,1.03e-10,4.69e-13,1.02e-13,1.39e-13,4.86e-13,6.01e-14
00:16:07.64,3.12e-10,7.68e-13,7.08e-14,5.52e-14,1.03e-10,4.5e-13,1.02e-13,1.64e-13,4.98e-13,4.34e-14
00:16:15.14,3.12e-10,7.91e-13,5.6e-14,5.22e-14,1.03e-10,4.5e-13,8.37e-14,1.54e-13,4.69e-13,4.04e-14
00:16:22.64,3.11e-10,7.88e-13,4.87e-14,4.64e-14,1.03e-10,4.45e-13,1.13e-13,1.69e-13,4.64e-13,4.65e-14
