,,,,,,2,4,16,17,18,20,28,32,40,44,--,--,--,--,--,--,--,--,--,--
"測定回数","経過時間"   ,"時刻　　 "   ,"分圧比率1" ,"分圧比率2" ,"全圧"   ,     1   ,     2   ,     3   ,     4   ,     5   ,     6   ,     7   ,     8   ,     9   ,    10   ,    11   ,    12   ,    13   ,    14   ,    15   ,    16   ,    17   ,    18   ,    19   ,    20   
      19  ,000:01:30.109,2023/4/24  20:33:19:109 ,0.2632478 ,0.0589744 ,1.00E-99 , 2.08E-12, 3.72E-14, 8.47E-12, 6.33E-12, 2.88E-11, 4.04E-10, 6.16E-10, 1.38E-10, 2.34E-09, 1.48E-12, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      20  ,000:01:35.125,2023/4/24  20:33:24:125 ,0.2639485 ,0.0592275 ,1.00E-99 , 2.06E-12, 3.74E-14, 8.37E-12, 6.29E-12, 2.86E-11, 4.03E-10, 6.15E-10, 1.38E-10, 2.33E-09, 1.45E-12, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      21  ,000:01:40.125,2023/4/24  20:33:29:125 ,0.2635193 ,0.0592275 ,1.00E-99 , 2.06E-12, 4.29E-14, 8.36E-12, 6.20E-12, 2.84E-11, 4.02E-10, 6.14E-10, 1.38E-10, 2.33E-09, 1.46E-12, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      22  ,000:01:45.141,2023/4/24  20:33:34:141 ,0.2635193 ,0.0592275 ,1.00E-99 , 2.04E-12, 3.75E-14, 8.41E-12, 6.22E-12, 2.82E-11, 4.02E-10, 6.14E-10, 1.38E-10, 2.33E-09, 1.42E-12, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      23  ,000:01:50.172,2023/4/24  20:33:39:172 ,0.2630901 ,0.0592275 ,1.00E-99 , 2.06E-12, 4.62E-14, 8.34E-12, 6.20E-12, 2.81E-11, 4.01E-10, 6.13E-10, 1.38E-10, 2.33E-09, 1.47E-12, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      24  ,000:01:55.172,2023/4/24  20:33:44:172 ,0.2637931 ,0.0594828 ,1.00E-99 , 2.02E-12, 4.66E-14, 8.38E-12, 6.11E-12, 2.79E-11, 4.01E-10, 6.12E-10, 1.38E-10, 2.32E-09, 1.43E-12, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      25  ,000:02:00.172,2023/4/24  20:33:49:172 ,0.2633621 ,0.0590517 ,1.00E-99 , 2.02E-12, 4.87E-14, 8.36E-12, 6.10E-12, 2.77E-11, 4.00E-10, 6.11E-10, 1.37E-10, 2.32E-09, 1.38E-12, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      26  ,000:02:05.187,2023/4/24  20:33:54:187 ,0.2629310 ,0.0590517 ,1.00E-99 , 2.01E-12, 3.16E-14, 8.34E-12, 6.07E-12, 2.77E-11, 3.99E-10, 6.10E-10, 1.37E-10, 2.32E-09, 1.41E-12, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      27  ,000:02:10.172,2023/4/24  20:33:59:172 ,0.2636364 ,0.0593074 ,1.00E-99 , 2.00E-12, 4.28E-14, 8.32E-12, 6.07E-12, 2.76E-11, 3.99E-10, 6.09E-10, 1.37E-10, 2.31E-09, 1.44E-12, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      28  ,000:02:15.172,2023/4/24  20:34:4:172 ,0.2636364 ,0.0593074 ,1.00E-99 , 2.01E-12, 3.22E-14, 8.33E-12, 6.05E-12, 2.75E-11, 3.98E-10, 6.09E-10, 1.37E-10, 2.31E-09, 1.40E-12, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      29  ,000:02:20.187,2023/4/24  20:34:9:187 ,0.2632035 ,0.0593074 ,1.00E-99 , 1.96E-12, 3.51E-14, 8.33E-12, 6.00E-12, 2.74E-11, 3.98E-10, 6.08E-10, 1.37E-10, 2.31E-09, 1.42E-12, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      30  ,000:02:25.187,2023/4/24  20:34:14:187 ,0.2627706 ,0.0588745 ,1.00E-99 , 1.98E-12, 3.51E-14, 8.33E-12, 5.95E-12, 2.73E-11, 3.97E-10, 6.07E-10, 1.36E-10, 2.31E-09, 1.42E-12, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      31  ,000:02:30.203,2023/4/24  20:34:19:203 ,0.2623377 ,0.0588745 ,1.00E-99 , 1.98E-12, 4.95E-14, 8.28E-12, 5.95E-12, 2.72E-11, 3.97E-10, 6.06E-10, 1.36E-10, 2.31E-09, 1.38E-12, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      32  ,000:02:35.219,2023/4/24  20:34:24:219 ,0.2630435 ,0.0591304 ,1.00E-99 , 1.98E-12, 4.13E-14, 8.32E-12, 5.93E-12, 2.70E-11, 3.96E-10, 6.05E-10, 1.36E-10, 2.30E-09, 1.38E-12, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      33  ,000:02:40.234,2023/4/24  20:34:29:234 ,0.2626087 ,0.0591304 ,1.00E-99 , 1.98E-12, 4.08E-14, 8.26E-12, 5.93E-12, 2.70E-11, 3.96E-10, 6.04E-10, 1.36E-10, 2.30E-09, 1.40E-12, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      34  ,000:02:45.219,2023/4/24  20:34:34:219 ,0.2626087 ,0.0591304 ,1.00E-99 , 1.94E-12, 4.20E-14, 8.29E-12, 5.89E-12, 2.69E-11, 3.95E-10, 6.04E-10, 1.36E-10, 2.30E-09, 1.40E-12, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      35  ,000:02:50.234,2023/4/24  20:34:39:234 ,0.2621739 ,0.0586957 ,1.00E-99 , 1.98E-12, 3.91E-14, 8.25E-12, 5.90E-12, 2.67E-11, 3.95E-10, 6.03E-10, 1.35E-10, 2.30E-09, 1.39E-12, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
