16,000:01:52.515,2023/12/19  12:51:16:515 ,2.5252526,0.3858586,1.00E-99,3.33E-10,7.95E-13,5.67E-14,6.14E-14,6.51E-11,2.91E-13,1.23E-11,1.84E-13,7.71E-13,7.40E-11,8.71E-14,1.25E-09,1.91E-10,4.95E-10,1.15E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
17,000:02:00.015,2023/12/19  12:51:24:15 ,4.2771082,0.5301205,1.00E-99,3.34E-10,8.33E-13,7.92E-14,6.64E-14,7.46E-11,3.05E-13,1.17E-11,2.21E-13,9.82E-13,5.08E-11,5.01E-14,1.42E-09,1.76E-10,3.32E-10,9.20E-13,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
18,000:02:07.515,2023/12/19  12:51:31:515 ,7.609756,0.7219512,1.00E-99,3.34E-10,8.41E-13,8.14E-14,5.24E-14,8.41E-11,3.89E-13,1.02E-11,3.05E-13,1.12E-12,3.14E-11,5.15E-14,1.56E-09,1.48E-10,2.05E-10,6.90E-13,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
19,000:02:15.015,2023/12/19  12:51:39:14 ,13.5483866,0.8870968,1.00E-99,3.35E-10,8.35E-13,5.44E-14,5.90E-14,9.21E-11,4.06E-13,7.82E-12,3.46E-13,1.32E-12,1.89E-11,5.39E-14,1.68E-09,1.10E-10,1.24E-10,6.90E-13,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
20,000:02:22.515,2023/12/19  12:51:46:514 ,14.2741938,0.5741935,1.00E-99,3.37E-10,8.30E-13,5.89E-14,5.44E-14,9.84E-11,4.12E-13,5.28E-12,3.82E-13,1.46E-12,1.13E-11,3.99E-14,1.77E-09,7.12E-11,1.24E-10,5.08E-13,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
21,000:02:30.015,2023/12/19  12:51:54:14 ,24.6278763,0.9634641,1.00E-99,3.38E-10,8.56E-13,6.37E-14,4.37E-14,1.03E-10,4.57E-13,3.29E-12,4.52E-13,1.66E-12,6.57E-12,3.87E-14,1.82E-09,7.12E-11,7.39E-11,3.59E-13,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
22,000:02:37.515,2023/12/19  12:52:1:514 ,41.1764717,0.979638,1.00E-99,3.39E-10,8.29E-13,5.03E-14,4.41E-14,1.06E-10,4.52E-13,2.02E-12,4.78E-13,1.85E-12,3.94E-12,3.97E-14,1.82E-09,4.33E-11,4.42E-11,2.98E-13,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
23,000:02:45.015,2023/12/19  12:52:9:14 ,68.7732391,0.9591078,1.00E-99,3.38E-10,9.06E-13,4.67E-14,4.94E-14,1.07E-10,4.86E-13,1.24E-12,5.00E-13,1.94E-12,2.38E-12,3.97E-14,1.85E-09,2.58E-11,2.69E-11,1.76E-13,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
24,000:02:52.515,2023/12/19  12:52:16:514 ,113.3333359,0.939394,1.00E-99,3.39E-10,8.63E-13,8.00E-14,5.17E-14,1.08E-10,4.58E-13,8.03E-13,5.42E-13,2.07E-12,2.38E-12,3.97E-14,1.87E-09,1.55E-11,1.65E-11,1.63E-13,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
25,000:03:00.015,2023/12/19  12:52:24:14 ,179.9999847,0.887619,1.00E-99,3.38E-10,8.80E-13,5.18E-14,5.17E-14,1.08E-10,4.95E-13,5.22E-13,5.23E-13,2.15E-12,1.53E-12,4.44E-14,1.89E-09,9.32E-12,1.05E-11,1.27E-13,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
